"item_id","true_label","new_itemid"
944363402,1,1982
944363403,2,1995
944363404,2,1270
944363405,2,2259
944363406,1,1976
944363407,1,1980
944363408,2,1269
944363409,1,1979
944363410,2,5191
944363411,2,6623
944363412,1,2247
944363413,1,6617
944363414,2,2246
944363415,2,1266
944363416,1,6615
944363417,1,5185
944363418,1,5199
944363419,1,1256
944363420,2,1977
944363421,2,1973
944363422,1,1996
944363423,2,1971
944363424,1,2265
944363425,2,2243
944363426,2,2242
944363427,1,2241
944363428,1,1975
944363429,1,1968
944363430,2,1981
944363431,2,5195
944363432,2,1983
944363433,2,1970
944363434,1,1991
944363435,2,1260
944363436,1,1267
944363437,1,5186
944363438,2,1988
944363440,1,1268
944363441,2,2233
944363442,2,1261
944363443,1,1987
944363444,2,6622
944363445,1,2232
944363446,2,1264
944363447,2,1994
944363448,1,6797
944363449,1,6619
944363450,2,1993
944363451,1,1257
944363452,1,5189
944363453,1,6616
944363454,2,1272
944363455,1,5187
944363456,2,6618
944363457,2,1986
944363458,1,2260
944363459,2,2263
944363460,1,5193
944363461,1,5201
944363462,2,2238
944363463,2,6620
944363464,1,1964
944363465,2,1990
944363466,2,1265
944363467,2,2262
944363468,2,5188
944363469,1,1969
944363470,2,6621
944363471,1,2236
944363472,2,5197
944363473,1,1967
944363474,1,5200
944363475,2,1984
944363476,2,5194
944363477,2,5184
944363478,2,1985
944363479,2,2250
944363480,2,1965
944363481,2,2234
944363482,1,1992
944363484,2,1997
944363485,2,5190
944363487,2,1255
944363488,2,1978
944363489,1,2245
944363490,1,6614
944363491,1,2255
944363492,2,1974
944363493,1,1262
944363494,2,1989
944363495,2,5198
944363496,2,5192
944363497,1,1271
944363498,1,1972
944363499,2,1998
944363500,2,1263
944363501,1,5196
944363502,1,1258
944363503,2,1259
944363504,2,1966
944363505,2,4072
944363506,1,5311
944363507,1,3095
944363508,2,5221
944363509,2,954
944363510,2,2094
944363511,2,451
944363512,2,2807
944363513,1,5258
944363514,2,4809
944363515,2,6047
944363516,2,3540
944363517,1,3606
944363518,2,4165
944363519,1,519
944363520,1,5851
944363521,2,2538
944363522,2,3904
944363523,2,1116
944363524,2,2215
944363525,2,270
944363526,1,6843
944363527,1,2488
944363528,2,1888
944363529,1,7333
944363531,2,2768
944363532,2,4853
944363533,2,3286
944363534,1,3712
944363535,2,1455
944363536,2,7031
944363537,2,892
944363538,2,1289
944363539,2,3047
944363540,2,5531
944363541,1,4009
944363542,1,1767
944363543,2,328
944363544,1,401
944363545,1,6741
944363546,2,5459
944363547,2,6467
944363548,2,6195
944363549,1,864
944363550,1,4227
944363551,1,3391
944363552,1,5970
944363553,2,2067
944363554,2,3692
944363555,2,836
944363556,2,2036
944363557,2,7191
944363558,1,2025
944363559,1,4454
944363560,2,1683
944363561,2,653
944363562,2,2020
944363563,2,4849
944363564,2,2365
944363565,1,4551
944363566,1,6325
944363567,1,4059
944363568,1,1225
944363569,1,6491
944363570,2,4828
944363571,2,6122
944363572,2,4722
944363573,2,2414
944363574,1,1098
944363575,1,4510
944363576,2,1676
944363577,1,3900
944363578,2,5679
944363579,2,5392
944363580,2,2964
944363581,1,4845
944363582,2,1094
944363583,2,1537
944363584,1,2205
944363585,1,4672
944363586,2,4908
944363587,1,6938
944363588,1,7054
944363589,1,1347
944363590,2,210
944363591,2,2159
944363592,1,4805
944363593,1,5439
944363594,2,1104
944363595,2,3107
944363596,1,3768
944363597,2,6800
944363598,1,1915
944363599,2,4476
944363600,2,3957
944363601,1,1479
944363602,1,5072
944363603,1,3190
944363604,1,249
944363605,2,2278
944363606,1,4890
944363607,2,127
944363608,1,2182
944363609,2,42
944363610,1,54
944363611,1,3366
944363612,2,1609
944363613,2,6770
944363614,1,4458
944363615,2,459
944363616,1,2345
944363617,1,6279
944363618,2,6890
944363619,2,106
944363620,1,3400
944363622,2,431
944363623,2,2471
944363624,1,5889
944363625,2,2896
944363626,2,2264
944363627,1,5121
944363628,2,18
944363629,1,2393
944363630,2,3156
944363631,2,5956
944363632,2,2136
944363633,1,1600
944363634,1,6857
944363636,2,1714
944363637,2,915
944363638,1,6584
944363639,1,6211
944363640,1,3996
944363641,2,1778
944363642,2,6782
944363643,1,6031
944363644,1,6173
944363645,1,7089
944363647,2,7223
944363648,2,6779
944363649,1,6131
944363650,2,4373
944363651,1,1641
944363652,1,5158
944363653,2,3269
944363654,1,4352
944363655,1,2482
944363656,2,6235
944363657,2,5419
944363658,1,3725
944363709,2,147
944363710,1,4314
944363711,1,5980
944363712,1,5013
944363713,2,2047
944363714,1,907
944363715,2,6050
944363716,2,1493
944363717,1,539
944363718,1,3649
944363719,1,4320
944363720,1,4294
944363721,2,4092
944363722,1,4724
944363723,2,3268
944363724,1,6775
944363725,2,3085
944363726,1,635
944363727,2,5131
944363728,1,6276
944363729,2,1076
944363730,2,4876
944363731,1,854
944363732,1,6546
944363733,2,3239
944363734,1,505
944363735,1,4938
944363736,2,847
944363737,2,4542
944363738,2,5178
944363739,2,6198
944363740,1,5665
944363741,2,4932
944363742,2,4035
944363743,2,3555
944363744,1,6642
944363745,2,7154
944363746,1,6345
944363748,1,6516
944363749,1,488
944363750,1,3907
944363751,1,2446
944363752,2,4663
944363753,1,1302
944363754,2,1169
944363755,1,1749
944363756,1,516
944363757,2,3562
944363758,1,1862
944363759,2,3930
944363760,1,3372
944363761,1,3195
944363762,1,5472
944363763,1,1492
944363764,1,6089
944363765,1,3291
944363766,2,4306
944363767,1,154
944363768,2,4242
944363769,1,3776
944363770,1,3961
944363771,2,3487
944363772,1,3773
944363773,1,1381
944363774,2,6858
944363775,2,1065
944363776,2,1570
944363777,2,4596
944363778,1,878
944363779,2,2902
944363780,2,3647
944363781,2,1834
944363782,1,3356
944363783,1,1927
944363784,2,181
944363786,1,5333
944363788,1,4576
944363789,2,4721
944363790,2,5611
944363791,1,6011
944363792,1,992
944363794,1,232
944363795,2,4057
944363796,2,2847
944363797,2,334
944363798,1,4333
944363799,1,3182
944363800,1,3216
944363801,1,543
944363802,1,2152
944363803,2,15
944363804,2,391
944363805,1,296
944363806,1,2146
944363807,2,5205
944363809,2,5824
944363810,2,3557
944363811,2,5897
944363812,1,6602
944363813,2,4354
944363814,2,4154
944363815,2,5122
944363816,2,531
944363817,1,3734
944363818,1,4327
944363819,2,5490
944363820,2,7327
944363821,1,341
944363822,1,567
944363823,2,2008
944363824,2,4813
944363825,1,1846
944363826,1,4446
944363827,2,6347
944363828,2,3064
944363829,2,5913
944363830,2,4769
944363831,2,5009
944363832,1,2728
944363833,1,6827
944363834,2,499
944363835,2,4922
944363836,2,1934
944363837,2,876
944363838,1,5494
944363840,1,6123
944363841,2,5570
944363842,1,4837
944363843,1,4305
944363844,1,4730
944363845,2,995
944363846,2,660
944363847,1,6652
944363848,1,6396
