"content_length","spelling_errors_ratio","numberOfLinks","non_markup_alphanum_characters","linkwordscore","image_ratio","html_ratio","frameTagRatio","avglinksize","is_news_1","is_news_.","news_front_page_0","news_front_page_.","news_front_page_1","hasDomainLink_0","hasDomainLink_1","alchemy_category_business","alchemy_category_recreation","alchemy_category_health","alchemy_category_sports","alchemy_category_.","alchemy_category_arts_entertainment","alchemy_category_science_technology","alchemy_category_gaming","alchemy_category_culture_politics","alchemy_category_computer_internet","alchemy_category_law_crime","alchemy_category_religion","alchemy_category_weather","alchemy_category_unknown","lengthyLinkDomain_1","lengthyLinkDomain_0","dummy"
0.028805,0.052209,0.027622,0.008463,0.5,0.01029,0.253087146,0.109375,0.007629,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.025282,0.033019,0.01221,0.007069,0.3,0.009314,0.264455516,0.099398,0.006323,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.04528,0.110312,0.028223,0.214776,0.03,0.008881,0.168290659,0.024955,0.006315,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.000207,0.133333,0.023819,0.015321,0.26,0,0.268840209,0.043373,0.005533,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.04756,0.078261,0.052442,0.015653,0.48,0.009402,0.228482122,0.059022,0.007847,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.004352,0.043478,0.007206,0.005237,0.15,0.01508,0.258403261,0.060703,0.003489,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
0.037198,0.107463,0.031425,0.062462,0.08,0.009597,0.272478655,0.016897,0.004733,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0.02922,0.09607,0.033627,0.006165,0.61,0.009644,0.256701773,0.123145,0.006282,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.034711,0.057762,0.053643,0.023145,0.41,0.009598,0.190296128,0.069038,0.007404,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.036991,0.068111,0.034227,0.019812,0.22,0.010276,0.219829236,0.044929,0.004206,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.006839,0.043478,0.015012,0.002111,0.65,0.011662,0.176487362,0.064246,0.005931,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.000207,0.2,0.02442,0.01773,0.25,0,0.276395799,0.041096,0.005669,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.0172,0.096154,0.015012,0.004559,0.43,0.00997,0.344571722,0.104027,0.005969,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0.0086,0.097345,0.029023,0.002635,0.53,0.012789,0.225968748,0.083333,0.002819,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
0.048182,0.054726,0.051241,0.015734,0.35,0.009723,0.226259514,0.032,0.004627,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.280696,0.079299,0.024219,0.062413,0.08,0.008753,0.323549115,0.017964,0.005188,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0.010672,0.060345,0.018415,0.029002,0.13,0.011908,0.231967341,0.084227,0.006605,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0.000622,0.166667,0.002602,0.000149,0.71,0,0.348094685,0.219178,0.002952,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
0.080924,0.080229,0.03703,0.051175,0.2,0.00922,0.235266609,0.029777,0.008465,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.001243,0.076923,0.001401,0.001149,0.24,0.011662,0.340265539,0.17,0.006297,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
0.071806,0.077399,0.028823,0.248173,0.03,0.008844,0.169452311,0.036145,0.006214,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
