"new_userid","new_itemid"
72,2972
203,1867
352,3187
93,3213
45,1962
346,7201
336,3715
93,3732
93,3231
77,3173
328,2564
72,2968
44,1899
336,7085
336,3740
434,6152
434,5336
180,5860
180,5861
105,2014
180,5497
346,7212
72,2971
72,2973
352,3403
44,1901
336,7074
93,3219
93,3741
352,3163
93,3730
45,1939
280,1288
105,2026
328,1051
336,3711
434,5341
434,6134
105,2010
77,3169
44,1903
434,6145
328,2595
203,1873
328,1046
180,5859
203,1857
93,3728
434,536
346,7211
93,3742
180,5501
132,4180
93,3198
280,1279
132,4176
105,2029
328,2585
45,1946
44,1907
434,5312
328,2561
77,3152
72,2970
77,3154
72,2966
93,3744
336,7076
352,3400
280,6906
203,6347
434,6138
203,6343
105,2007
44,1906
434,6601
93,3228
72,2956
346,7198
77,3186
280,1278
45,1929
352,3402
45,1957
72,2957
93,3230
105,2015
93,3714
434,6118
132,4199
352,3389
352,3399
328,2572
346,7213
44,1897
180,5856
72,2976
45,1934
77,3190
132,4186
93,3720
132,4193
434,527
105,2031
105,2022
77,3161
45,1958
45,1956
132,4196
346,7206
280,1290
105,2033
44,1902
180,5857
434,5315
93,3727
44,1900
280,1282
346,7203
45,1961
132,4183
93,3204
44,1895
93,3229
180,5862
132,4177
203,1864
434,6133
180,5502
203,1858
336,7075
203,1859
77,3189
434,6603
352,3404
180,5499
105,2027
352,3392
180,5479
346,7200
105,2008
132,4194
132,4195
434,6600
346,7214
280,1283
93,3738
44,1908
434,6112
93,3729
72,2961
132,4187
203,1870
280,1275
93,3237
44,1909
434,6109
336,7082
77,3179
434,6126
77,3181
434,6153
45,1942
328,2580
328,2558
203,1869
203,6345
93,3205
45,1959
93,3199
328,1044
105,2019
93,3724
346,7207
346,7209
180,5485
44,1896
93,3210
328,2589
434,6681
336,7081
77,3170
434,6136
280,1280
434,5313
93,3717
336,3733
328,2597
77,3192
132,4209
280,1277
44,1898
93,3225
44,1905
77,3185
180,5480
93,3212
352,3401
203,6349
105,2024
434,5391
72,2954
434,5387
77,3183
280,1286
434,532
336,3719
77,3180
434,5384
72,2967
336,7084
93,3726
72,2975
434,5322
93,3235
44,1894
346,7208
434,525
45,1947
434,6142
280,6904
352,3147
44,1892
93,3209
93,3201
45,1945
434,6694
352,3143
434,5388
132,4178
434,537
203,6353
105,2017
93,3718
346,7202
203,1871
346,7199
280,6901
328,1039
346,7205
352,3393
336,7079
105,2003
336,3725
352,3191
180,5496
132,4201
180,5469
72,2960
434,6599
346,7210
328,1049
72,2953
203,6335
328,2586
280,1287
203,1861
434,6121
336,7078
180,5488
72,2962
352,3390
346,7215
93,3745
93,3232
72,2955
105,2004
280,6903
336,7083
132,4181
132,4184
203,1856
45,1941
45,1938
180,5863
45,1963
434,6691
45,1932
105,2002
203,1866
336,7077
93,3723
352,3159
77,3174
77,3157
132,4185
328,2593
434,6602
77,3184
280,6902
105,2001
346,7204
434,5308
45,1955
44,1904
434,6110
132,4182
72,2963
180,5858
328,2560
328,2577
336,7080
93,3737
44,1893
352,3391
280,1274
280,1284
25,1144
88,3557
12,583
330,3785
140,4979
12,565
336,3576
88,3549
136,3546
140,4967
330,4871
316,3222
70,1154
64,2726
160,3229
25,1146
64,2691
316,3245
140,3548
283,6960
257,1153
25,1130
71,1121
160,3208
128,1123
78,3205
425,3761
367,3559
94,3778
306,2937
257,1151
367,3526
64,2685
68,2855
367,6400
25,1115
78,3213
71,1134
93,3719
425,3778
316,3233
128,1124
64,2709
12,604
78,3201
316,3220
425,3520
71,1123
70,2933
25,1120
25,1137
64,2723
128,2905
25,1132
257,1137
140,3200
425,3765
88,3546
25,1110
283,604
88,3548
78,3231
71,2940
25,1153
140,2915
160,3201
136,4870
136,4869
367,6398
71,2702
86,3520
140,4973
425,3774
94,3785
78,3226
128,2907
64,2717
283,6962
140,3545
71,1124
71,1135
316,3734
316,3743
128,2904
136,4877
283,6970
12,569
283,2685
94,3773
367,3760
316,3719
12,564
78,3204
367,3538
128,1121
306,2936
128,2903
94,3758
367,3558
336,3570
306,2935
316,3203
25,1102
330,3748
330,4876
128,1120
78,3222
283,5664
398,7333
330,3531
136,3563
128,1134
71,2689
283,6964
94,3748
316,7075
336,3556
160,3235
336,3773
316,3715
12,584
140,2922
93,3712
140,2908
12,600
367,3763
78,3230
70,2922
140,2913
140,3241
68,606
140,2897
140,4981
398,7313
25,1139
128,1136
71,1132
12,596
257,1146
128,2909
78,3242
88,3560
71,2718
70,2915
367,3781
306,2944
64,2707
70,2908
160,3204
136,3579
160,3211
283,6956
316,3218
330,3761
306,2704
306,2939
25,1123
86,3538
160,3206
136,3576
68,610
88,3568
93,3716
140,3207
283,6966
283,2680
93,3740
425,3754
64,2701
367,3750
64,2704
68,2856
71,1136
128,1135
367,3572
78,3198
128,2945
283,605
257,1139
136,3552
88,3552
330,3538
425,3783
306,2940
94,3766
64,2730
78,3236
160,3238
330,3783
425,3768
93,3713
12,571
330,4870
283,2716
283,5652
94,3757
25,1111
336,3771
12,599
336,3547
160,3203
367,3511
136,3558
160,3248
93,3743
88,3558
140,3563
71,2935
25,1140
330,3786
306,2948
71,2948
316,3733
68,2852
316,3247
140,3567
12,568
88,3578
160,3249
128,2940
71,2704
336,3768
257,1138
94,3768
136,3564
160,3202
306,2941
160,3241
425,3784
425,3769
78,3218
160,3205
160,3218
367,3758
283,5661
64,2728
306,2718
12,582
330,4865
70,2927
71,2907
136,3549
25,1117
70,2909
25,1113
94,3775
330,3775
367,3755
136,4867
283,6959
70,1140
283,5653
283,6973
93,3733
316,2914
367,3756
64,2720
12,574
70,1139
128,2947
316,3216
88,3575
94,3747
140,3562
425,3762
367,3555
71,1119
140,2912
70,2896
25,1108
336,3766
136,4868
70,2905
70,1137
128,2942
306,2942
330,3759
425,3785
330,3777
160,3245
68,2853
78,3245
94,3760
306,2938
64,2682
78,3217
283,6967
70,2903
64,2731
257,1145
64,2719
330,3764
70,2921
336,3770
94,3774
283,6969
425,3756
88,3572
88,3567
140,3243
71,2947
336,4861
330,6399
25,1138
70,2912
336,3575
64,2700
93,3715
